14:03:49.557-> ,943,710,671,X,Y
14:03:56.306-> ,1047,809,784,-60,40
14:04:08.449-> ,1102,873,860,-50,40
14:04:16.050-> ,1136,917,916,-40,40
14:04:25.783-> ,1167,963,970,-30,40
14:04:33.663-> ,1185,1001,1012,-20,40
14:04:42.174-> ,1199,1030,1054,-10,40
14:04:50.553-> ,1207,1049,1090,0,40
14:04:58.140-> ,1214,1073,1129,10,40
14:05:05.811-> ,1220,1091,1169,20,40
14:05:13.286-> ,1223,1106,1211,30,40
14:05:18.996-> ,1223,1117,1253,40,40
14:05:28.674-> ,1224,1131,1312,50,40
14:05:37.201-> ,1229,1146,1393,60,40
14:06:52.418-> ,1105,867,842,-60,30
14:06:59.098-> ,1130,903,889,-50,30
14:07:06.473-> ,1156,939,936,-40,30
14:07:12.931-> ,1179,974,979,-30,30
14:07:21.327-> ,1200,1004,1020,-20,30
14:07:27.696-> ,1206,1033,1055,-10,30
14:07:38.162-> ,1216,1059,1094,0,30
14:08:11.677-> ,1217,1075,1127,10,30
14:08:21.022-> ,1223,1095,1165,20,30
14:08:38.282-> ,1225,1114,1206,30,30
14:08:45.015-> ,1226,1127,1247,40,30
14:08:52.304-> ,1228,1140,1293,50,30
14:09:00.590-> ,1229,1148,1343,60,30
14:09:36.542-> ,1147,909,889,-60,20
14:09:46.274-> ,1161,928,917,-50,20
14:09:52.274-> ,1176,956,949,-40,20
14:09:58.768-> ,1189,983,989,-30,20
14:10:06.545-> ,1202,1010,1022,-20,20
14:10:14.275-> ,1211,1034,1056,-10,20
14:10:22.848-> ,1216,1065,1092,0,20
14:10:34.070-> ,1225,1085,1124,10,20
14:10:42.250-> ,1225,1105,1159,20,20
14:10:49.311-> ,1229,1125,1194,30,20
14:10:57.107-> ,1233,1140,1230,40,20
14:11:03.302-> ,1230,1150,1262,50,20
14:11:10.690-> ,1229,1154,1285,60,20
14:16:43.970-> ,1189,940,924,-60,10
14:16:49.271-> ,1192,957,941,-50,10
14:16:56.372-> ,1202,980,970,-40,10
14:17:02.504-> ,1205,1000,996,-30,10
14:17:12.875-> ,1213,1023,1026,-20,10
14:17:21.424-> ,1215,1046,1055,-10,10
14:17:28.770-> ,1222,1070,1088,0,10
14:17:38.077-> ,1221,1089,1113,10,10
14:17:47.596-> ,1227,1114,1148,20,10
14:17:56.292-> ,1225,1131,1174,30,10
14:18:05.015-> ,1231,1154,1207,40,10
14:18:15.133-> ,1227,1167,1230,50,10
14:18:22.500-> ,1227,1174,1248,60,10
14:18:30.504-> ,1232,965,954,-60,0
14:18:37.108-> ,1232,977,967,-50,0
14:18:44.351-> ,1230,995,989,-40,0
14:18:54.665-> ,1230,1015,1012,-30,0
14:19:03.365-> ,1232,1037,1039,-20,0
14:19:09.827-> ,1229,1057,1061,-10,0
14:19:17.381-> ,1231,1083,1090,0,0
14:19:26.023-> ,1229,1104,1115,10,0
14:19:33.000-> ,1222,1110,1123,20,0
14:19:39.864-> ,1230,1149,1169,30,0
14:19:49.957-> ,1229,1167,1188,40,0
14:19:57.394-> ,1230,1183,1210,50,0
14:20:12.590-> ,1227,1192,1219,60,0
14:20:29.199-> ,1270,990,975,-60,-10
14:20:34.197-> ,1265,1002,987,-50,-10
14:20:40.404-> ,1257,1011,1003,-40,-10
14:20:46.755-> ,1247,1024,1019,-30,-10
14:20:52.913-> ,1245,1046,1045,-20,-10
14:21:24.290-> ,1244,1068,1065,-10,-10
14:21:39.107-> ,1243,1094,1088,0,-10
14:21:52.188-> ,1241,1110,1113,10,-10
14:21:58.957-> ,1238,1137,1133,20,-10
14:22:06.661-> ,1237,1163,1154,30,-10
14:22:13.118-> ,1236,1187,1173,40,-10
14:22:20.672-> ,1234,1202,1185,50,-10
14:22:29.208-> ,1228,1214,1194,60,-10
14:22:38.416-> ,1312,994,981,-60,-20
14:22:45.296-> ,1296,1003,990,-50,-20
14:22:52.545-> ,1283,1025,1009,-40,-20
14:22:59.012-> ,1270,1037,1021,-30,-20
14:23:05.691-> ,1260,1056,1044,-20,-20
14:23:13.162-> ,1253,1076,1063,-10,-20
14:23:20.541-> ,1248,1099,1085,0,-20
14:23:25.963-> ,1243,1123,1106,10,-20
14:23:35.563-> ,1240,1151,1129,20,-20
14:23:43.171-> ,1236,1174,1142,30,-20
14:23:52.906-> ,1232,1198,1156,40,-20
14:24:00.758-> ,1233,1234,1177,50,-20
14:24:06.344-> ,1233,1257,1185,60,-20
14:24:11.898-> ,1361,1012,997,-60,-30
14:24:17.806-> ,1331,1020,1005,-50,-30
14:24:24.113-> ,1303,1032,1015,-40,-30
14:24:29.735-> ,1283,1050,1031,-30,-30
14:24:37.146-> ,1272,1069,1051,-20,-30
14:24:42.938-> ,1260,1086,1069,-10,-30
14:24:50.918-> ,1249,1106,1084,0,-30
14:24:56.549-> ,1247,1135,1108,10,-30
14:25:02.992-> ,1240,1157,1125,20,-30
14:25:09.442-> ,1241,1197,1144,30,-30
14:25:15.231-> ,1236,1236,1160,40,-30
14:25:22.371-> ,1229,1260,1164,50,-30
14:25:28.581-> ,1228,1299,1172,60,-30
14:25:35.521-> ,1407,1021,1001,-60,-40
14:25:41.127-> ,1354,1032,1007,-50,-40
14:25:47.981-> ,1318,1050,1017,-40,-40
14:25:54.133-> ,1293,1059,1031,-30,-40
14:26:02.323-> ,1274,1074,1049,-20,-40
14:26:10.259-> ,1258,1092,1063,-10,-40
14:26:23.975-> ,1254,1112,1086,0,-40
14:26:41.360-> ,1246,1139,1104,10,-40
14:26:49.418-> ,1241,1166,1121,20,-40
14:26:56.399-> ,1236,1199,1138,30,-40
14:27:07.272-> ,1236,1243,1156,40,-40
14:27:18.868-> ,1235,1288,1164,50,-40
14:27:26.492-> ,1233,1357,1174,60,-40
